"chart","age","age_units","gender","measure","measure_units","L","M","S"
"fenton_2025",48.7142857142857,"weeks","f","head_circ","cm",1,38.162139747121,0.0312627982694836
"fenton_2025",48.8571428571429,"weeks","f","head_circ","cm",1,38.2063814074574,0.0312429989104758
"fenton_2025",49,"weeks","f","head_circ","cm",1,38.2496967760931,0.0312316343008344
"fenton_2025",49.1428571428571,"weeks","f","head_circ","cm",1,38.2920583702557,0.0312290050532796
"fenton_2025",49.2857142857143,"weeks","f","head_circ","cm",1,38.3334387071726,0.031235411780532
"fenton_2025",49.4285714285714,"weeks","f","head_circ","cm",1,38.3738103040711,0.031251155095312
"fenton_2025",49.5714285714286,"weeks","f","head_circ","cm",1,38.4131525005232,0.031276471088607
"fenton_2025",49.7142857142857,"weeks","f","head_circ","cm",1,38.4516015500252,0.0313101118515476
"fenton_2025",49.8571428571429,"weeks","f","head_circ","cm",1,38.4894506199973,0.0313493454754071
"fenton_2025",50,"weeks","f","head_circ","cm",1,38.5269997002044,0.031391375529726
"fenton_2025",23.5,"weeks","f","length","cm",1,29.4996718923477,0.0771631963610411
"fenton_2025",23.5714285714286,"weeks","f","length","cm",1,29.59935182021,0.0769957858518531
"fenton_2025",23.7142857142857,"weeks","f","length","cm",1,29.798707625672,0.0766609779932833
"fenton_2025",23.8571428571429,"weeks","f","length","cm",1,29.9980512803463,0.0763262096141321
"fenton_2025",24,"weeks","f","length","cm",1,30.1973746837076,0.0759915070340119
"fenton_2025",24.1428571428571,"weeks","f","length","cm",1,30.3966697352306,0.0756568965725351
"fenton_2025",24.2857142857143,"weeks","f","length","cm",1,30.5959283343903,0.0753224045493142
"fenton_2025",24.4285714285714,"weeks","f","length","cm",1,30.7951423806614,0.0749880572839614
"fenton_2025",24.5714285714286,"weeks","f","length","cm",1,30.9943074282863,0.0746538810960893
"fenton_2025",24.7142857142857,"weeks","f","length","cm",1,31.1935030911644,0.0743199023053102
"fenton_2025",24.8571428571429,"weeks","f","length","cm",1,31.3928930428515,0.0739861472312365
"fenton_2025",25,"weeks","f","length","cm",1,31.5926446116711,0.0736526421934807
"fenton_2025",25.1428571428571,"weeks","f","length","cm",1,31.7929251259469,0.0733194135116551
"fenton_2025",25.2857142857143,"weeks","f","length","cm",1,31.9939019140025,0.0729864875053721
"fenton_2025",25.4285714285714,"weeks","f","length","cm",1,32.1957423041615,0.0726538904942442
"fenton_2025",25.5714285714286,"weeks","f","length","cm",1,32.3986069122152,0.0723216487978837
"fenton_2025",25.7142857142857,"weeks","f","length","cm",1,32.6025019657123,0.071989788735903
"fenton_2025",25.8571428571429,"weeks","f","length","cm",1,32.807279303959,0.0716583366279146
"fenton_2025",26,"weeks","f","length","cm",1,33.0127840537292,0.0713273187935309
"fenton_2025",26.1428571428571,"weeks","f","length","cm",1,33.2188613417969,0.0709967615523642
"fenton_2025",26.2857142857143,"weeks","f","length","cm",1,33.4253562949359,0.070666691224027
"fenton_2025",26.4285714285714,"weeks","f","length","cm",1,33.6321140399202,0.0703371341281316
"fenton_2025",26.5714285714286,"weeks","f","length","cm",1,33.8389840687036,0.0700081165842905
"fenton_2025",26.7142857142857,"weeks","f","length","cm",1,34.0459162723774,0.069679664912116
"fenton_2025",26.8571428571429,"weeks","f","length","cm",1,34.2529609411705,0.0693518054312207
"fenton_2025",27,"weeks","f","length","cm",1,34.4601727304919,0.0690245644612168
"fenton_2025",27.1428571428571,"weeks","f","length","cm",1,34.6676062957504,0.0686979683217167
"fenton_2025",27.2857142857143,"weeks","f","length","cm",1,34.8753162923547,0.068372043332333
"fenton_2025",27.4285714285714,"weeks","f","length","cm",1,35.0833573757137,0.0680468158126779
"fenton_2025",27.5714285714286,"weeks","f","length","cm",1,35.2917782567052,0.067722312082364
"fenton_2025",27.7142857142857,"weeks","f","length","cm",1,35.5004909219926,0.0673985584610035
"fenton_2025",27.8571428571429,"weeks","f","length","cm",1,35.709270634025,0.0670755812682089
"fenton_2025",28,"weeks","f","length","cm",1,35.9178867107206,0.0667534068235926
"fenton_2025",28.1428571428571,"weeks","f","length","cm",1,36.1261084699972,0.066432061446767
"fenton_2025",28.2857142857143,"weeks","f","length","cm",1,36.333705229773,0.0661115714573445
"fenton_2025",28.4285714285714,"weeks","f","length","cm",1,36.5404463079661,0.0657919631749375
"fenton_2025",28.5714285714286,"weeks","f","length","cm",1,36.7461129670126,0.0654732629191584
"fenton_2025",28.7142857142857,"weeks","f","length","cm",1,36.9507611932677,0.0651554970096196
"fenton_2025",28.8571428571429,"weeks","f","length","cm",1,37.154721697005,0.0648386917659336
"fenton_2025",29,"weeks","f","length","cm",1,37.3583371330167,0.0645228735077126
"fenton_2025",29.1428571428571,"weeks","f","length","cm",1,37.5619501560947,0.0642080685545692
"fenton_2025",29.2857142857143,"weeks","f","length","cm",1,37.7659034210311,0.0638943032261157
"fenton_2025",29.4285714285714,"weeks","f","length","cm",1,37.9705395826178,0.0635816038419645
"fenton_2025",29.5714285714286,"weeks","f","length","cm",1,38.17618352614,0.0632699967217281
"fenton_2025",29.7142857142857,"weeks","f","length","cm",1,38.3827514382236,0.0629595081850187
"fenton_2025",29.8571428571429,"weeks","f","length","cm",1,38.5897508068353,0.062650164551449
"fenton_2025",30,"weeks","f","length","cm",1,38.7966713504351,0.0623419921406311
"fenton_2025",30.1428571428571,"weeks","f","length","cm",1,39.0030027874827,0.0620350172721776
